Date,Time,Open,High,Low,Close,Volume
2023/8/30,09:10:00,557,558,556,556,46
2023/8/30,09:11:00,557,558,557,557,90
2023/8/30,09:12:00,557,557,557,557,17
2023/8/30,09:13:00,557,558,557,558,25
2023/8/30,09:14:00,557,558,557,557,24
2023/8/30,09:15:00,557,558,556,557,42
2023/8/30,09:16:00,557,558,557,558,51
2023/8/30,09:17:00,557,558,557,557,9
2023/8/30,09:18:00,558,559,557,559,541
2023/8/30,09:19:00,559,559,558,559,50
2023/8/30,09:20:00,558,560,558,559,422
2023/8/30,09:21:00,559,560,559,559,55
2023/8/30,09:22:00,559,559,558,558,104
2023/8/30,09:23:00,559,559,558,559,21
2023/8/30,09:24:00,559,559,558,559,88
2023/8/30,09:25:00,558,560,558,559,210
2023/8/30,09:26:00,559,560,559,559,35
2023/8/30,09:27:00,560,560,559,559,121
2023/8/30,09:28:00,560,560,559,559,34
2023/8/30,09:29:00,559,559,558,558,45
2023/8/30,09:30:00,559,559,558,558,4
2023/8/30,09:31:00,558,559,558,559,12
2023/8/30,09:32:00,558,559,558,559,21
2023/8/30,09:33:00,559,559,558,559,8
2023/8/30,09:34:00,558,559,558,558,16
2023/8/30,09:35:00,559,559,558,558,25
2023/8/30,09:36:00,558,559,558,558,26
2023/8/30,09:37:00,558,559,558,559,23
2023/8/30,09:38:00,559,559,558,558,37
2023/8/30,09:39:00,559,559,558,558,21
2023/8/30,09:40:00,559,559,558,559,22
2023/8/30,09:41:00,558,559,558,559,24
2023/8/30,09:42:00,559,559,558,559,18
2023/8/30,09:43:00,559,559,558,559,29
2023/8/30,09:44:00,558,559,558,559,30
2023/8/30,09:45:00,559,559,558,559,22
2023/8/30,09:46:00,558,559,558,559,34
2023/8/30,09:47:00,559,559,558,559,14
2023/8/30,09:48:00,558,559,558,559,19
2023/8/30,09:49:00,559,559,558,558,12
2023/8/30,09:50:00,559,559,558,558,9
2023/8/30,09:51:00,558,559,558,558,16
2023/8/30,09:52:00,559,559,558,559,16
2023/8/30,09:53:00,559,560,558,559,322
2023/8/30,09:54:00,559,560,559,560,40
2023/8/30,09:55:00,559,560,559,559,11
2023/8/30,09:56:00,559,560,559,559,10
2023/8/30,09:57:00,560,560,559,559,14
2023/8/30,09:58:00,560,560,559,560,23
2023/8/30,09:59:00,559,560,559,560,15
